"full_name","constituency","party","profile_url","dail_term","dail_period","number_of_seats","term_number"
"Austin Stack","Kerry-Limerick West","Sinn Féin","/en/members/member/Austin-Stack.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Michael Staines","Dublin North-West","Sinn Féin","/en/members/member/Michael-Staines.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Prof. William F. P. Stockley","National University of Ireland","Sinn Féin","/en/members/member/Prof-William-F-P-Stockley.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Joseph Aloysius Sweeney","Donegal","Sinn Féin","/en/members/member/Joseph-Aloysius-Sweeney.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"James Joseph Walsh","Cork Borough","Sinn Féin","/en/members/member/James-Joseph-Walsh.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Peter J. Ward","Donegal","Sinn Féin","/en/members/member/Peter-J-Ward.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Joseph Whelehan","Galway","Sinn Féin","/en/members/member/Joseph-Whelehan.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Dr. Vincent Joseph White","Waterford–Tipperary East","Sinn Féin","/en/members/member/Dr-Vincent-Joseph-White.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Constance Georgina de Markievicz","Dublin South","Sinn Féin","/en/members/member/Co<U+FEFF>nstance-Georgina-de-Markievicz.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Liam de Róiste","Cork Borough","Sinn Féin","/en/members/member/Liam-de-Róiste.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Eamon de Valera","Clare","Sinn Féin","/en/members/member/Eamon-de-Valera.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Seán Ó Ceallaigh","Louth-Meath","Sinn Féin","/en/members/member/Seán-Ó-Ceallaigh.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Pádraic Ó Maille","Galway","Sinn Féin","/en/members/member/Pádraic-Ó-Maille.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Ernest H. Alton","Dublin University","Independent","/en/members/member/Ernest-H-Alton.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Robert Childers Barton","Kildare-Wicklow","Sinn Féin","/en/members/member/Robert-Childers-Barton.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Ernest Blythe","Monaghan","Sinn Féin","/en/members/member/Ernest-Blythe.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Harry Boland","Mayo South-Roscommon South","Sinn Féin","/en/members/member/Harry-Boland.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Séamus Aloysius Bourke","Tipperary Mid, North and South","Sinn Féin","/en/members/member/Séamus-Aloysius-Bourke.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Michael Bradley","Cork Mid, North, South, South East and West","Labour Party","/en/members/member/Michael-Bradley.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Patrick Brennan","Clare","Sinn Féin","/en/members/member/Patrick-Brennan.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Cathal Brugha","Waterford–Tipperary East","Sinn Féin","/en/members/member/Cathal-Brugha.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Francis Bulfin","Leix-Offaly","Sinn Féin","/en/members/member/Francis-Bulfin.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"John Butler","Waterford–Tipperary East","Labour Party","/en/members/member/John-Butler.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Alfred Byrne","Dublin Mid","Independent","/en/members/member/Alfred-Byrne.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Christopher Michael Byrne","Kildare-Wicklow","Sinn Féin","/en/members/member/Christopher-Michael-Byrne.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Daniel J. Byrne","Waterford–Tipperary East","Farmers Party","/en/members/member/Daniel-J-Byrne.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Piaras Béaslaí","Kerry-Limerick West","Sinn Féin","/en/members/member/Piaras-Béaslaí.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Patrick J. Cahill","Kerry-Limerick West","Sinn Féin","/en/members/member/Patrick-J-Cahill.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Thomas Carter","Leitrim-Roscommon-North","Sinn Féin","/en/members/member/Thomas-Carter.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Frank Joseph Carty","Sligo-Mayo-East","Sinn Féin","/en/members/member/Frank-Joseph-Carty.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Walter Leonard Cole","Cavan","Sinn Féin","/en/members/member/Walter-Leonard-Cole.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Michael P. Colivet","Limerick-City-Limerick-East","Sinn Féin","/en/members/member/Michael-P-Colivet.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Conor Collins","Kerry-Limerick West","Sinn Féin","/en/members/member/Conor-Collins.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Michael Collins","Cork Mid, North, South, South East and West","Sinn Féin","/en/members/member/Michael-Collins.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Hugh Colohan","Kildare-Wicklow","Labour Party","/en/members/member/Hugh-Colohan.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Richard Corish","Wexford","Labour Party","/en/members/member/Richard-Corish.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Daniel Corkery","Cork Mid, North, South, South East and West","Sinn Féin","/en/members/member/Daniel-Corkery.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Philip B. J. Cosgrave","Dublin North-West","Sinn Féin","/en/members/member/Philip-B-J-Cosgrave.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"William T. Cosgrave","Carlow-Kilkenny","Sinn Féin","/en/members/member/William-T-Cosgrave.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Prof. James Craig","Dublin University","Independent","/en/members/member/Prof-James-Craig.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Dr. John Crowley","Mayo North and West","Sinn Féin","/en/members/member/Dr-John-Crowley.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"James Crowley","Kerry-Limerick West","Sinn Féin","/en/members/member/James-Crowley.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Bryan Cusack","Galway","Sinn Féin","/en/members/member/Bryan-Cusack.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"William Davin","Leix-Offaly","Labour Party","/en/members/member/William-Davin.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Robert Day","Cork Borough","Labour Party","/en/members/member/Robert-Day.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Michael James Derham","Dublin County","Sinn Féin","/en/members/member/Michael-James-Derham.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Thomas Derrig","Mayo North and West","Sinn Féin","/en/members/member/Thomas-Derrig.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"James Devins","Sligo-Mayo-East","Sinn Féin","/en/members/member/James-Devins.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"John Dineen","Cork East and North-East","Farmers Party","/en/members/member/John-Dineen.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"James Nicholas Dolan","Leitrim-Roscommon-North","Sinn Féin","/en/members/member/James-Nicholas-Dolan.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Michael Doyle","Wexford","Farmers Party","/en/members/member/Michael-Doyle.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Séamus Doyle","Wexford","Sinn Féin","/en/members/member/Séamus-Doyle.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"George Gavan Duffy","Dublin County","Sinn Féin","/en/members/member/George-Gavan-Duffy.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Edmund John Duggan","Louth-Meath","Sinn Féin","/en/members/member/Edmund-John-Duggan.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"James Everett","Kildare-Wicklow","Labour Party","/en/members/member/James-Everett.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Frank Fahy","Galway","Sinn Féin","/en/members/member/Frank-Fahy.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Francis Patrick Ferran","Sligo-Mayo-East","Sinn Féin","/en/members/member/Francis-Patrick-Ferran.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Darrell Figgis","Dublin County","Independent","/en/members/member/Darrell-Figgis.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Desmond FitzGerald","Dublin County","Sinn Féin","/en/members/member/Desmond-FitzGerald.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Gerald Fitzgibbon","Dublin University","Independent","/en/members/member/Gerald-Fitzgibbon.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Patrick Gaffney","Carlow-Kilkenny","Labour Party","/en/members/member/Patrick-Gaffney.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Laurence Ginnell","Longford-Westmeath","Sinn Féin","/en/members/member/Laurence-Ginnell.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Denis John Gorey","Carlow-Kilkenny","Farmers Party","/en/members/member/Denis-John-Gorey.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Arthur Griffith","Cavan","Sinn Féin","/en/members/member/Arthur-Griffith.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Seán Hales","Cork Mid, North, South, South East and West","Sinn Féin","/en/members/member/Seán-Hales.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Michael Hayes","National University of Ireland","Sinn Féin","/en/members/member/Michael-Hayes.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Richard Francis Hayes","Limerick-City-Limerick-East","Sinn Féin","/en/members/member/Richard-Francis-Hayes.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Seán Hayes","Cork Mid, North, South, South East and West","Sinn Féin","/en/members/member/Seán-Hayes.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"William Hayes","Limerick-City-Limerick-East","Sinn Féin","/en/members/member/William-Hayes.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Michael Joseph Hennessy","Cork East and North-East","Business and Professional Group","/en/members/member/Michael-Joseph-Hennessy.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Patrick J. Hogan","Galway","Sinn Féin","/en/members/member/Patrick-J-Hogan.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Peter Hughes","Louth-Meath","Sinn Féin","/en/members/member/Peter-Hughes.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Thomas Johnson","Dublin County","Labour Party","/en/members/member/Thomas-Johnson.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Thomas Kelly","Dublin South","Sinn Féin","/en/members/member/Thomas-Kelly.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"David Rice Kent","Cork East and North-East","Sinn Féin","/en/members/member/David-Rice-Kent.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Myles Keogh","Dublin South","Independent","/en/members/member/Myles-Keogh.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Andrew Lavin","Leitrim-Roscommon-North","Sinn Féin","/en/members/member/Andrew-Lavin.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Seán Joseph Liddy","Clare","Sinn Féin","/en/members/member/Seán-Joseph-Liddy.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Fionán Lynch","Kerry-Limerick West","Sinn Féin","/en/members/member/Fionán-Lynch.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"John Lyons","Longford-Westmeath","Labour Party","/en/members/member/John-Lyons.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Alasdair Mac Cába","Sligo-Mayo-East","Sinn Féin","/en/members/member/Alexander-McCabe.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Joseph MacBride","Mayo North and West","Sinn Féin","/en/members/member/Joseph-MacBride.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Joseph Michael MacDonagh","Tipperary Mid, North and South","Sinn Féin","/en/members/member/Joseph-Michael-MacDonagh.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"General Seán MacEoin","Longford-Westmeath","Sinn Féin","/en/members/member/General-Seán-MacEoin.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Francis MacGuinness","Longford-Westmeath","Sinn Féin","/en/members/member/Francis-MacGuinness.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Eoin MacNeill","National University of Ireland","Sinn Féin","/en/members/member/Eoin-MacNeill.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Mary MacSwiney","Cork Borough","Sinn Féin","/en/members/member/Mary-MacSwiney.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Professor William Magennis","National University of Ireland","Independent","/en/members/member/Professor-William-Magennis.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Thomas Maguire","Mayo South-Roscommon South","Sinn Féin","/en/members/member/Thomas-Maguire.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Patrick McCartan","Leix-Offaly","Sinn Féin","/en/members/member/Patrick-McCartan.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Daniel McCarthy","Dublin South","Sinn Féin","/en/members/member/Daniel-McCarthy.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Dr. Patrick McCarvill","Monaghan","Sinn Féin","/en/members/member/Dr-Patrick-McCarvill.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Seán McGarry","Dublin Mid","Sinn Féin","/en/members/member/Seán-McGarry.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Joseph McGinley","Donegal","Sinn Féin","/en/members/member/Joseph-McGinley.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Patrick Joseph McGoldrick","Donegal","Sinn Féin","/en/members/member/Patrick-Joseph-McGoldrick.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Joseph McGrath","Dublin North-West","Sinn Féin","/en/members/member/Joseph-McGrath.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Seán Milroy","Cavan","Sinn Féin","/en/members/member/Seán-Milroy.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Patrick James Moloney","Tipperary Mid, North and South","Sinn Féin","/en/members/member/Patrick-James-Moloney.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Daniel Morrissey","Tipperary Mid, North and South","Labour Party","/en/members/member/Daniel-Morrissey.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Seán Moylan","Cork Mid, North, South, South East and West","Sinn Féin","/en/members/member/Seán-Moylan.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Richard James Mulcahy","Dublin North-West","Sinn Féin","/en/members/member/Richard-James-Mulcahy.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"James Edward Murphy","Louth-Meath","Sinn Féin","/en/members/member/James-Edward-Murphy.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Thomas Alexander Nagle","Cork Mid, North, South, South East and West","Labour Party","/en/members/member/Thomas-Alexander-Nagle.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"George Nicolls","Galway","Sinn Féin","/en/members/member/George-Nicolls.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"William O'Brien","Dublin South","Labour Party","/en/members/member/William-O'Brien.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Daniel O'Callaghan","Wexford","Labour Party","/en/members/member/Daniel-O'Callaghan.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Kate (Kathleen) O'Callaghan","Limerick-City-Limerick-East","Sinn Féin","/en/members/member/Katherine-O'Callaghan.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Tomas O'Connell","Galway","Labour Party","/en/members/member/Tomas-O'Connell.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Joseph O'Doherty","Donegal","Sinn Féin","/en/members/member/Joseph-O'Doherty.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Tomas O'Donnell","Sligo-Mayo-East","Sinn Féin","/en/members/member/Tomas-O'Donnell.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Thomas O'Donoghue","Kerry-Limerick West","Sinn Féin","/en/members/member/Thomas-O'Donoghue.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"General Eoin O'Duffy","Monaghan","Sinn Féin","/en/members/member/General-Eoin-O'Duffy.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Samuel O'Flaherty","Donegal","Sinn Féin","/en/members/member/Samuel-O'Flaherty.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Brian O'Higgins","Clare","Sinn Féin","/en/members/member/Brian-O'Higgins.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Kevin Christopher O'Higgins","Leix-Offaly","Sinn Féin","/en/members/member/Kevin-Christopher-O'Higgins.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Seán T. O'Kelly","Dublin Mid","Sinn Féin","/en/members/member/Seán-T-O'Kelly.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Laurence O'Neill","Dublin Mid","Independent","/en/members/member/Laurence-O'Neill.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Daniel O'Rourke","Mayo South-Roscommon South","Sinn Féin","/en/members/member/Daniel-O'Rourke.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Cathal O'Shannon","Louth-Meath","Labour Party","/en/members/member/Cathal-O'Shannon.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Gearóid O'Sullivan","Carlow-Kilkenny","Sinn Féin","/en/members/member/Gearóid-O'Sullivan.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Nicholas Francis Phelan","Waterford–Tipperary East","Labour Party","/en/members/member/Nicholas-Francis-Phelan.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"George Noble Plunkett","Leitrim-Roscommon-North","Sinn Féin","/en/members/member/George-Noble-Plunkett.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Edmond Roche","Kerry-Limerick West","Sinn Féin","/en/members/member/Edmond-Roche.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"John Rooney","Dublin County","Farmers Party","/en/members/member/John-Rooney.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Patrick Joseph Ruttledge","Mayo North and West","Sinn Féin","/en/members/member/Patrick-Joseph-Ruttledge.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"William Sears","Mayo South-Roscommon South","Sinn Féin","/en/members/member/William-Sears.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Austin Stack","Kerry-Limerick West","Sinn Féin","/en/members/member/Austin-Stack.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Michael Staines","Dublin North-West","Sinn Féin","/en/members/member/Michael-Staines.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Prof. William F. P. Stockley","National University of Ireland","Sinn Féin","/en/members/member/Prof-William-F-P-Stockley.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Joseph Aloysius Sweeney","Donegal","Sinn Féin","/en/members/member/Joseph-Aloysius-Sweeney.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Prof. William E. Thrift","Dublin University","Independent","/en/members/member/Prof-William-E-Thrift.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Daniel Vaughan","Cork Mid, North, South, South East and West","Farmers Party","/en/members/member/Daniel-Vaughan.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"James Joseph Walsh","Cork Borough","Sinn Féin","/en/members/member/James-Joseph-Walsh.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Peter J. Ward","Donegal","Sinn Féin","/en/members/member/Peter-J-Ward.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
"Joseph Whelehan","Galway","Sinn Féin","/en/members/member/Joseph-Whelehan.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Dr. Vincent Joseph White","Waterford–Tipperary East","Sinn Féin","/en/members/member/Dr-Vincent-Joseph-White.D.1921-08-16/","3rd Dáil","(1922 - 1923)","128",3
"Richard Wilson","Kildare-Wicklow","Farmers Party","/en/members/member/Richard-Wilson.D.1922-09-09/","3rd Dáil","(1922 - 1923)","128",3
"Liam de Róiste","Cork Borough","Sinn Féin","/en/members/member/Liam-de-Róiste.D.1919-01-21/","3rd Dáil","(1922 - 1923)","128",3
